Acls,Section,Permission
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]67193df4-563a-43ec-b6ae-bffcc9f0a4ad,Security,List of NAT Gateways
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]e96ea1dd-f7c8-46b8-948e-1e07a753e001,Security,Customer Gateways Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]5a90036e-eba3-476d-be41-e414d78107f1,Security,List of Customer Gateways
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]87cdb2c8-cd1c-4f18-ac22-4e0bd6a685da,Security,VPN Connections Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]b1bf65a1-d250-4bf0-b99c-3a54c3d6f41e,Security,List of VPN Connections
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]e4cac2cf-aa28-4b8a-b4bb-3705b9dd56c8,Security,Internet Gateways Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]a1f90612-9045-469e-95d5-503437c251ab,Security,List of Internet Gateways
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]474eb5cd-e4b8-455d-abcc-eae927cf1e30,Security,Security Group Common Searches
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]64add0e2-4db3-4f51-848c-5ae8e7698b38,Security,Security Group Visualization
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]32bef31d-3f58-48fc-8891-6164b5871031,Security,EC2-VPC Security Group Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]9dbc8870-016c-451c-8d2f-5ce4ffbebc79,Security,List of EC2-VPC Security Groups
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]d95b7cdf-1ea9-4513-8d61-5f48ae98298d,Security,EC2-Classic Security Group Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]53a6122a-1790-48ab-b3c5-e18949fc2f18,Security,List of EC2-Classic Security Groups
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]b4e016e0-08d2-4bbf-a2ee-8b31384255ce,Security,DB Security Groups Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]c700a33a-0ed3-4347-8705-a0704b2b3dc5,Security,List of DB Security Groups
